[2025-11-27 15:33:21.488] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:26.490] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:31.490] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:36.490] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:41.490] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:46.489] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:51.492] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:33:56.494] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:01.494] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:06.496] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:11.498] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:16.499] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:21.500] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:26.500] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=13ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:31.501] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:36.502] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=12ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:41.508] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=15ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:46.508] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
[2025-11-27 15:34:51.508] [info]                    🕘 Idle check (idle=0ms, method=loginctl, duration=14ms, threshold=15000ms, action=skipped:below-threshold)
